지역,시군구,2020년,2021년,2022년10월6일기준
서울특별시,강남구,141 ,112 ,66 
서울특별시,강동구,116 ,97 ,38 
서울특별시,강북구,65 ,53 ,24 
서울특별시,강서구,132 ,155 ,62 
서울특별시,관악구,103 ,74 ,38 
서울특별시,광진구,56 ,58 ,28 
서울특별시,구로구,122 ,96 ,55 
서울특별시,금천구,58 ,56 ,19 
서울특별시,노원구,167 ,128 ,82 
서울특별시,도봉구,82 ,59 ,46 
서울특별시,동대문구,77 ,57 ,24 
서울특별시,동작구,91 ,55 ,45 
서울특별시,마포구,113 ,85 ,48 
서울특별시,서대문구,83 ,84 ,39 
서울특별시,서초구,127 ,101 ,53 
서울특별시,성동구,103 ,67 ,30 
서울특별시,성북구,135 ,82 ,63 
서울특별시,송파구,171 ,122 ,63 
서울특별시,양천구,120 ,100 ,69 
서울특별시,영등포구,104 ,72 ,37 
서울특별시,용산구,56 ,43 ,24 
서울특별시,은평구,130 ,83 ,72 
서울특별시,종로구,29 ,23 ,12 
서울특별시,중구,32 ,27 ,13 
서울특별시,중랑구,79 ,72 ,27 
